plan_id,statement_id,statement,gold_elot,gold_lowered,translation_elot,translation_lowered,elot_correct,elot_equiv
4_3,1,The player initially believed that either box 1 and 2 contained the red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2))))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2)))), threshold(believes))","believes(player, formula(and(exists(and(key(K), iscolor(K, red)), inside(K, box1)), exists(and(key(K), iscolor(K, red)), inside(K, box2)))))","or(and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes)), exists(and(key(K), iscolor(K, red)), inside(K, box1))), and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes)), exists(and",FALSE,TRUE
4_3,2,The player initially did not know if box 3 contained a red key.,"not_knows_if(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ","and(not(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(believes))), not(>=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))), threshold(believes))))","not_knows_if(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","and(not(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(believes))), not(>=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))), threshold(believes))))",TRUE,TRUE
4_3,3,The player initially believed there might be a key in box 1.,"believes(player, might(exists(key(K), inside(K, box1)))) ",">=(prob_of(player, exists(key(K), inside(K, box1))), threshold(might))","believes(player, might(exists(key(K), inside(K, box1))))",">=(prob_of(player, exists(key(K), inside(K, box1))), threshold(might))",TRUE,TRUE
4_3,4,The player initially did not know for sure which box contained a key.,"not_knows_about(player, box(B), exists(key(K), inside(K, B))) ","forall(box(B), or(<(prob_of(player, exists(key(K), inside(K, B))), threshold(believes)), not(exists(key(K), inside(K, B)))))","not_knows_about(player, key(K), inside(K, B))","or(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box2))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box3))), threshold(uncertain)))",FALSE,FALSE
4_3,5,The player initially thought that box 2 might have the red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might))",TRUE,TRUE
5_1,1,The player initially knew that there was a key in box 1.,"knows_that(player, formula(exists(key(K), inside(K, box1)))) ","and(>=(prob_of(player, exists(key(K), inside(K, box1))), threshold(believes)), exists(key(K), inside(K, box1)))","knows_that(player, formula(exists(key(K), inside(K, box1))))","and(>=(prob_of(player, exists(key(K), inside(K, box1))), threshold(believes)), exists(key(K), inside(K, box1)))",TRUE,TRUE
5_1,2,The player initially knew that box 1 did not have a red key.,"knows_that(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box1))))) ","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))), threshold(believes)), not(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","not_knows_about(player, box(B), exists(and(key(K), iscolor(K, red)), inside(K, B)))","not(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes)))",FALSE,FALSE
5_1,3,The player initially believed that box 2 was empty.,"believes(player, formula(empty(box2))) ",">=(prob_of(player, empty(box2)), threshold(believes))","believes(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), <(prob_of(player, not(empty(box2))), threshold(believes)))",TRUE,TRUE
5_1,4,The player initially thought that box 2 might have the red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might))",TRUE,TRUE
5_1,5,The player initially believed a red key was more likely to be in box 2 or 3 than box 1.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))), exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))), exists(and(key(K), iscolor(K, red)), inside(K, box1))))","or(>(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1)))), >(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K,",TRUE,TRUE
5_2,1,The player initially believed there might be a key in box 1.,"believes(player, might(exists(key(K), inside(K, box1)))) ",">=(prob_of(player, exists(key(K), inside(K, box1))), threshold(might))","believes(player, might(exists(key(K), inside(K, box1))))",">=(prob_of(player, exists(key(K), inside(K, box1))), threshold(might))",TRUE,TRUE
5_2,2,The player initially believed a red key was more likely to be in box 2 or 3 than box 1.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))), exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))), exists(and(key(K), iscolor(K, red)), inside(K, box1))))","or(>(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1)))), >(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K,",TRUE,TRUE
5_2,3,The player initially did not know for sure which box contained the key.,"not_knows_about(player, box(B), exists(key(K), inside(K, B))) ","forall(box(B), or(<(prob_of(player, exists(key(K), inside(K, B))), threshold(believes)), not(exists(key(K), inside(K, B)))))","not_knows_about(player, box(B), exists(key(K), inside(K, B)))","and(not(>=(prob_of(player, exists(key(K), or(inside(K, box1), inside(K, box2), inside(K, box3)))), threshold(certain))), or(inside(K, box1), inside(K, box2), inside(K, box3)))",TRUE,TRUE
5_2,4,The player initially believed that either box 1 or 2 contained the red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2))))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2)))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2)))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2)))), threshold(believes)), exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2))))",TRUE,TRUE
5_2,5,The player initially believed that box 2 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes)), exists(and(key(K), iscolor(K, red)), inside(K, box2)))",TRUE,TRUE
6_1,1,The player initially knew that there was a key in box 1.,"knows_that(player, formula(exists(key(K), inside(K, box1)))) ","and(>=(prob_of(player, exists(key(K), inside(K, box1))), threshold(believes)), exists(key(K), inside(K, box1)))","knows_that(player, formula(exists(key(K), inside(K, box1))))","and(>=(prob_of(player, exists(key(K), inside(K, box1))), threshold(believes)), exists(key(K), inside(K, box1)))",TRUE,TRUE
6_1,2,The player initially believed that box 1 might contain a blue key or a red key.,"believes(player, might(exists(and(key(K), or(iscolor(K, blue), iscolor(K, red))), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), or(iscolor(K, blue), iscolor(K, red))), inside(K, box1))), threshold(might))","believes(player, might(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, red)), inside(K, box1)))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(might)), >(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes)), >=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold",FALSE,FALSE
6_1,3,The player initially believed that a red key would be located in either box 1 or box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2))))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2)))), threshold(believes))","believes(player, formula(exists(key(K), and(iscolor(K, red), or(inside(K, box1), inside(K, box2))))))","and(>=(prob_of(player, exists(and(key(K), inside(K, box1)), iscolor(K, red))), threshold(believes)), or(>=(prob_of(player, exists(and(key(K), inside(K, box1)), iscolor(K, red))), threshold(believes)), >=(prob_of(player, exists(and(key(K), inside(K, box2)), iscolor(K",FALSE,TRUE
6_1,4,The player initially thought that box 1 was empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(not(exists(key(K), inside(K, box1)))))",">=(prob_of(player, empty(box1)), threshold(believes))",FALSE,TRUE
6_1,5,The player initially believed that box 2 was empty.,"believes(player, formula(empty(box2))) ",">=(prob_of(player, empty(box2)), threshold(believes))","believes(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), <(prob_of(player, not(empty(box2))), threshold(believes)))",TRUE,TRUE
6_2,1,The player initially believed that either box 1 or 2 contained the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2))))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2)))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2)))))","or(and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes)), exists(and(key(K), iscolor(K, blue)), inside(K, box1))), and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2))), threshold(believes)), exists(and",TRUE,TRUE
6_2,2,The player initially believed that box 1 and 2 contained no blue key.,"believes(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))) ",">=(prob_of(player, and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))), threshold(believes))","believes(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))))","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), threshold(believes)), not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), threshold(b",TRUE,TRUE
6_2,3,The player initially believed that box 2 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes)), exists(and(key(K), iscolor(K, red)), inside(K, box2)))",TRUE,TRUE
6_2,4,The player initially believed that box 1 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes)), exists(and(key(K), iscolor(K, red)), inside(K, box1)))",TRUE,TRUE
6_2,5,The player initially believed there was a blue key in either box 1 or box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2))))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2)))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2)))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2)))), threshold(believes))",TRUE,TRUE
6_3,1,The player initially believed that box 2 was empty.,"believes(player, formula(empty(box2))) ",">=(prob_of(player, empty(box2)), threshold(believes))","believes(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), <(prob_of(player, not(empty(box2))), threshold(believes)))",TRUE,TRUE
6_3,2,The player was initially unsure about the contents of boxes 1 and 2.,"and(uncertain_about(player, color(C), exists(and(key(K), inside(K, box1)), iscolor(K, C))), uncertain_about(player, color(C), exists(and(key(K), inside(K, box2)), iscolor(K, C))))","and(forall(color(C), <(prob_of(player, exists(and(key(K), inside(K, box1)), iscolor(K, C))), threshold(uncertain))), forall(color(C), <(prob_of(player, exists(and(key(K), inside(K, box2)), iscolor(K, C))), threshold(uncertain))))","uncertain_about(player, color(C), exists(and(key(K), inside(K, box1)), iscolor(K, C)))","or(and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box2))), threshold(uncertain))), and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box",FALSE,FALSE
6_3,3,The player initially believed box 1 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes))",TRUE,TRUE
6_3,4,The player initially believed that box 2 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes)), exists(and(key(K), iscolor(K, red)), inside(K, box2)))",TRUE,TRUE
6_3,5,The player initially believed there might be a key in box 1.,"believes(player, might(exists(key(K), inside(K, box1)))) ",">=(prob_of(player, exists(key(K), inside(K, box1))), threshold(might))","believes(player, might(exists(key(K), inside(K, box1))))",">=(prob_of(player, exists(key(K), inside(K, box1))), threshold(might))",TRUE,TRUE
7_1,1,The player initially believed box 1 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes))",TRUE,TRUE
7_1,2,The player initially believed that box 2 might have a red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might))",TRUE,TRUE
7_1,3,The player initially thought that boxes 2 or 3 contained a key.,"believes(player, formula(exists(key(K), or(inside(K, box2), inside(K, box3))))) ",">=(prob_of(player, exists(key(K), or(inside(K, box2), inside(K, box3)))), threshold(believes))","believes(player, formula(exists(key(K), or(inside(K, box2), inside(K, box3)))))","or(>=(prob_of(player, exists(key(K), inside(K, box2))), threshold(might)), >=(prob_of(player, exists(key(K), inside(K, box3))), threshold(might)))",TRUE,TRUE
7_1,4,The player initially thought that box 1 was empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(not(exists(key(K), inside(K, box1)))))",">=(prob_of(player, empty(box1)), threshold(believes))",FALSE,TRUE
7_1,5,The player initially believed box 2 and 3 might be empty.,"believes(player, might(and(empty(box2), empty(box3)))) ",">=(prob_of(player, and(empty(box2), empty(box3))), threshold(might))","believes(player, might(and(empty(box2), empty(box3))))","or(and(>=(prob_of(player, and(empty(box2), empty(box3))), threshold(believes)), and(empty(box2), empty(box3))), and(>=(prob_of(player, and(empty(box2), empty(box3))), threshold(might)), and(empty(box2), empty(box3))))",TRUE,TRUE
7_2,1,The player initially believed box 2 and 3 might be empty.,"believes(player, might(and(empty(box2), empty(box3)))) ",">=(prob_of(player, and(empty(box2), empty(box3))), threshold(might))","believes(player, might(and(empty(box2), empty(box3))))","or(and(>=(prob_of(player, and(empty(box2), empty(box3))), threshold(believes)), and(empty(box2), empty(box3))), and(>=(prob_of(player, and(empty(box2), empty(box3))), threshold(might)), and(empty(box2), empty(box3))))",TRUE,TRUE
7_2,2,The player initially thought that box 1 was most likely to contain a red key.,"believes(player, most(likely, exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(most(likely)))","believes(player, most(likely, exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), maximum(color(C), prob_of(player, exists(and(key(K), iscolor(K, C)), or(inside(K, box1), inside(K, box2), inside(K, box3))))))",TRUE,TRUE
7_2,3,The player initially did not have confidence box 1 would hold the red key.,"not_knows_if(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))  ","and(not(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes))), not(>=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))), threshold(believes))))","not_knows_about(player, and(key(K), iscolor(K, red)), inside(K, box1))","and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes)), <(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(likely)), <(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold",FALSE,FALSE
7_2,4,The player initially believed there was a red key in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))",TRUE,TRUE
7_2,5,The player initially believed the red key could be in box 2.,"believes(player, could(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(could))","believes(player, can(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","or(<=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes)), <=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(could)), <=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))),",FALSE,TRUE
7_3,1,The player initially believed that box 2 was empty.,"believes(player, formula(empty(box2))) ",">=(prob_of(player, empty(box2)), threshold(believes))","believes(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), <(prob_of(player, not(empty(box2))), threshold(believes)))",TRUE,TRUE
7_3,2,The player initially believed box 2 and 3 might be empty.,"believes(player, might(and(empty(box2), empty(box3)))) ",">=(prob_of(player, and(empty(box2), empty(box3))), threshold(might))","believes(player, might(and(empty(box2), empty(box3))))","or(and(>=(prob_of(player, and(empty(box2), empty(box3))), threshold(believes)), and(empty(box2), empty(box3))), and(>=(prob_of(player, and(empty(box2), empty(box3))), threshold(might)), and(empty(box2), empty(box3))))",TRUE,TRUE
7_3,3,The player initially believed that box 2 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes)), exists(and(key(K), iscolor(K, red)), inside(K, box2)))",TRUE,TRUE
7_3,4,The player was initially unsure what box contained the red key.,"uncertain_about(player, box(B), exists(and(key(K), iscolor(K, red)), inside(K, B))) ","forall(box(B), <(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, B))), threshold(uncertain)))","uncertain_about(player, box(B), exists(and(key(K), iscolor(K, red)), inside(K, B)))","or(not(and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))), threshold(certain)), exists(and(key(K), iscolor(K, red)), inside(K, box1)))), not(and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box2)))), threshold(c",TRUE,TRUE
7_3,5,The player initially believed box 1 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes))",TRUE,TRUE
